-2.0	-2.0	-1.9093
-2.0	-1.4286	-2.2655
-2.0	-0.8571	-2.2255
-2.0	-0.2857	-1.8580
-2.0	0.2857	-1.2866
-2.0	0.8571	-0.6766
-2.0	1.4286	-0.2053
-2.0	2.0	0.0907
-1.4286	-2.0	-2.1695
-1.4286	-1.4286	-2.3344
-1.4286	-0.8571	-2.0937
-1.4286	-0.2857	-1.5253
-1.4286	0.2857	-0.7539
-1.4286	0.8571	0.0563
-1.4286	1.4286	0.7278
-1.4286	2.0	1.2231
-0.8571	-2.0	-2.1675
-0.8571	-1.4286	-2.1411
-0.8571	-0.8571	-1.7086
-0.8571	-0.2857	-0.9485
-0.8571	0.2857	0.0147
-0.8571	0.8571	1.0166
-0.8571	1.4286	1.8800
-0.8571	2.0	2.5665
-0.2857	-2.0	-1.9035
-0.2857	-1.4286	-1.6858
-0.2857	-0.8571	-1.0619
-0.2857	-0.2857	-0.1105
-0.2857	0.2857	1.0445
-0.2857	0.8571	2.2380
-0.2857	1.4286	3.2931
-0.2857	2.0	4.1713
0.2857	-2.0	-1.3778
0.2857	-1.4286	-0.9688
0.2857	-0.8571	-0.1536
0.2857	-0.2857	0.9890
0.2857	0.2857	2.3355
0.2857	0.8571	3.7205
0.2857	1.4286	4.9671
0.2857	2.0	6.0368
0.8571	-2.0	-0.5902
0.8571	-1.4286	0.0091
0.8571	-0.8571	1.0146
0.8571	-0.2857	2.3476
0.8571	0.2857	3.8845
0.8571	0.8571	5.4598
0.8571	1.4286	6.8965
0.8571	2.0	8.1564
1.4286	-2.0	0.4590
1.4286	-1.4286	1.2497
1.4286	-0.8571	2.4467
1.4286	-0.2857	3.9711
1.4286	0.2857	5.6994
1.4286	0.8571	7.4662
1.4286	1.4286	9.0944
1.4286	2.0	10.5457
2.0	-2.0	1.7707
2.0	-1.4286	2.7527
2.0	-0.8571	4.1409
2.0	-0.2857	5.8565
2.0	0.2857	7.7761
2.0	0.8571	9.7343
2.0	1.4286	11.5539
2.0	2.0	13.1967
